# August 2018 Update
# Using f-values (oscillator strengths) and Gamma-values from Evelyne Roueff  
#
# Table B1: Complete version of Table 1 from "Keck telescope
# constraint on cosmological variation of the proton-to-electron mass
# ratio" by Malec A.L., Buning R., Murphy M.T, Milutinovic N., Ellison
# S.L., Prochaska J.X., Kaper L., Tumlinson J., Carswell R.F., Ubachs
# W., Mon. Not. R. Soc. Astron., accepted (Dec. 2009).
#
# Catalogue of the most accurate and precise laboratory parameters for
# fitting molecular hydrogen (H_2) absorptions lines. Represented are
# all allowed Lyman and Werner H_2 transitions between the lowest 8
# rotational levels in the ground and excited states with excited
# state vibrational quantum numbers up to 20 and 6 for Lyman and
# Werner transitions, respectively. The first column provides a
# short-hand notation for the transition: letters denote a Lyman (L)
# or Werner (W) line and the branch, where P, Q and R represent J' - J
# = -1, 0 and 1, respectively, for J and J' the ground state and
# excited state J-levels, respectively; the first integer is the
# excited state vibrational quantum number and the second is J. The
# second column gives the most precise reported laboratory wavelength
# and its 1-sigma uncertainty is given in the third column (both are
# in Angstroms); the fourth column provides the reference:
#
# 1 = Bailly, Salumbides, Vervloet, Ubachs (2009, Mol. Phys.,
# accepted),
#
# 2 = Ubachs, Buning, Eikema, Reinhold (2007, J. Molecular Spectrosc.,
# 241, 155) (a suffix ``a'' refers to directly measured wavelengths
# while ``b'' refers to wavelengths calculated from directly measured
# lines via combination differences) and
#
# 3 = Abgrall, Roueff, Launay, Roncin, Subtil (1993, J. Molecular
# Spectrosc., 157, 512) for the excited state energy levels with
# ground states derived directly from Jennings, Bragg, Brault (1984,
# ApJ, 282, L85).
#
# Note that wavelengths with reference 3 are much less precise than
# those from references 1 and 2. The fifth column gives the oscillator
# strengths which were calculated from the Einstein A coefficients
# given by Abgrall, Roueff, Launay, Roncin (1994, Canadian J. Phys.,
# 72, 856). The sixth column gives the (natural) damping coefficients
# in seconds^{-1} which were calculated from the total transition
# probabilities (A_t) in Abgrall, Roueff, Drira (2000,
# Astron. Astrophys. Suppl., 141, 297). The final column gives the
# sensitivity coefficients calculated in Ubachs, Buning, Eikema,
# Reinhold (2007, J. Molecular Spectrosc., 241, 155) which have
# estimated uncertainties of typically <5x10^{-4} (see main text).
#
# Trans  lambda_lab  sig_lambda  Ref  f    Gamma   K
L3P1	1064.605318	0.000004	1	5.941e-03	1.535e+09	 0.01000951
L3P2	1066.900633	0.000004	1	7.090e-03	1.534e+09	 0.00789541
L3P3	1070.140818	0.000003	1	7.538e-03	1.531e+09	 0.00492550
L3P4	1074.312899	0.000005	1	7.743e-03	1.525e+09	 0.00114033
L3P5	1079.400450	0.000004	1	7.834e-03	1.518e+09	-0.00340979
L3P6	1085.384151	0.000006	1	7.860e-03	1.510e+09	-0.00866755
L3P7	1103.982300	0.001300	3	7.843e-03	1.500e+09	-0.01457227
L3R0	1062.882074	0.000004	1	1.789e-02	1.534e+09	 0.01156759
L3R1	1063.460086	0.000003	1	1.190e-02	1.531e+09	 0.01099293
L3R2	1064.994759	0.000004	1	1.065e-02	1.525e+09	 0.00952560
L3R3	1067.478598	0.000004	1	1.004e-02	1.518e+09	 0.00718891
L3R4	1070.900286	0.000006	1	9.626e-03	1.510e+09	 0.00401739
L3R5	1075.244947	0.000006	1	9.281e-03	1.500e+09	 0.00005478
L3R6	1080.494745	0.000024	1	8.954e-03	1.488e+09	-0.00464885
L4P1	1051.032451	0.000005	1	7.601e-03	1.450e+09	 0.01555697
L4P2	1053.284210	0.000004	1	9.022e-03	1.448e+09	 0.01346322
L4P3	1056.471373	0.000003	1	9.556e-03	1.445e+09	 0.01051153
L4P4	1060.580970	0.000004	1	9.793e-03	1.440e+09	 0.00674295
L4P5	1065.596570	0.000004	1	9.900e-03	1.434e+09	 0.00220871
L4P6	1071.498770	0.000005	1	9.938e-03	1.426e+09	-0.00303240
L4P7	1089.706500	0.001200	3	9.941e-03	1.417e+09	-0.00891760
L4R0	1049.367383	0.000004	1	2.319e-02	1.448e+09	 0.01706801
L4R1	1049.959704	0.000003	1	1.555e-02	1.445e+09	 0.01646751
L4R2	1051.498512	0.000004	1	1.403e-02	1.440e+09	 0.01497399
L4R3	1053.976051	0.000004	1	1.336e-02	1.434e+09	 0.01261209
L4R4	1057.380706	0.000007	1	1.294e-02	1.426e+09	 0.00941815
L4R5	1061.697413	0.000005	1	1.261e-02	1.417e+09	 0.00543822
L4R6	1066.907971	0.000034	1	1.230e-02	1.407e+09	 0.00072530
L5P1	1038.157044	0.000004	1	8.660e-03	1.372e+09	 0.02064400
L5P2	1040.367202	0.000003	1	1.022e-02	1.371e+09	 0.01856997
L5P3	1043.503090	0.000004	1	1.077e-02	1.368e+09	 0.01563663
L5P4	1047.551786	0.000004	1	1.099e-02	1.364e+09	 0.01188511
L5P5	1052.496918	0.000004	1	1.108e-02	1.358e+09	 0.00736695
L5P6	1058.319102	0.000009	1	1.111e-02	1.351e+09	 0.00214153
L5P7	1076.155600	0.001200	3	1.112e-02	1.342e+09	-0.00372739
L5R0	1036.545680	0.000002	1	2.683e-02	1.371e+09	 0.02211196
L5R1	1037.149822	0.000003	1	1.813e-02	1.368e+09	 0.02148875
L5R2	1038.690179	0.000003	1	1.650e-02	1.364e+09	 0.01997239
L5R3	1041.158832	0.000004	1	1.585e-02	1.358e+09	 0.01758824
L5R4	1044.543977	0.000005	1	1.548e-02	1.351e+09	 0.01437358
L5R5	1048.830369	0.000005	1	1.523e-02	1.342e+09	 0.01037564
L5R6	1053.998700	0.001200	3	1.500e-02	1.333e+09	 0.00564897
L6P1	1025.935181	0.000006	1	9.094e-03	1.302e+09	 0.02529614
L6P2	1028.105875	0.000007	1	1.063e-02	1.301e+09	 0.02324105
L6P3	1031.192672	0.000004	1	1.111e-02	1.298e+09	 0.02032577
L6P4	1035.182762	0.000005	1	1.127e-02	1.294e+09	 0.01659124
L6P5	1040.059726	0.000004	1	1.130e-02	1.288e+09	 0.01208886
L6P6	1045.804318	0.000005	1	1.130e-02	1.282e+09	 0.00687799
L6P7	1063.288800	0.001200	3	1.131e-02	1.274e+09	 0.00102254
L6R0	1024.373738	0.000006	1	2.871e-02	1.301e+09	 0.02672449
L6R1	1024.987976	0.000003	1	1.957e-02	1.298e+09	 0.02608105
L6R2	1026.528323	0.000005	1	1.797e-02	1.294e+09	 0.02454448
L6R3	1028.986607	0.000004	1	1.739e-02	1.288e+09	 0.02214038
L6R4	1032.350972	0.000008	1	1.712e-02	1.282e+09	 0.01890632
L6R5	1036.604730	0.000020	1	1.696e-02	1.274e+09	 0.01488993
L6R6	1041.734691	0.000054	1	1.684e-02	1.265e+09	 0.01014630
L7P1	1014.327128	0.000006	1	8.982e-03	1.237e+09	 0.02953792
L7P2	1016.461136	0.000005	1	1.023e-02	1.236e+09	 0.02750099
L7P3	1019.502139	0.000003	1	1.048e-02	1.233e+09	 0.02460346
L7P4	1023.436799	0.000005	1	1.049e-02	1.230e+09	 0.02088590
L7P5	1028.248570	0.000004	1	1.047e-02	1.224e+09	 0.01639930
L7P6	1033.918239	0.000021	1	1.046e-02	1.218e+09	 0.01120261
L7P7	1051.071500	0.001200	3	1.049e-02	1.211e+09	 0.00535938
L7R0	1012.812914	0.000004	1	2.970e-02	1.236e+09	 0.03092982
L7R1	1013.436916	0.000002	1	2.050e-02	1.233e+09	 0.03026841
L7R2	1014.976843	0.000005	1	1.894e-02	1.230e+09	 0.02871411
L7R3	1017.424212	0.000004	1	1.838e-02	1.224e+09	 0.02629246
L7R4	1020.767035	0.000011	1	1.814e-02	1.218e+09	 0.02304091
L7R5	1024.990170	0.000011	1	1.801e-02	1.211e+09	 0.01900700
L7R6	1030.073600	0.001100	3	1.793e-02	1.203e+09	 0.01424573
L8P1	1003.296508	0.000005	1	8.466e-03	1.178e+09	 0.03339412
L8P2	1005.393086	0.000005	1	9.911e-03	1.177e+09	 0.03137464
L8P3	1008.386075	0.000003	1	1.043e-02	1.174e+09	 0.02849467
L8P4	1012.262348	0.000005	1	1.075e-02	1.171e+09	 0.02479431
L8P5	1017.004186	0.000005	1	1.122e-02	1.167e+09	 0.02029474
L8P6	1022.585960	0.000021	1	1.256e-02	1.162e+09	 0.01498634
L8P7	1039.210400	0.001100	3	2.325e-02	1.166e+09	-0.00116452
L8R0	1001.823741	0.000004	1	2.677e-02	1.177e+09	 0.03475253
L8R1	1002.452009	0.000003	1	1.823e-02	1.174e+09	 0.03407534
L8R2	1003.985377	0.000005	1	1.662e-02	1.171e+09	 0.03250586
L8R3	1006.414053	0.000005	1	1.571e-02	1.167e+09	 0.03004038
L8R4	1009.719690	0.000020	1	1.411e-02	1.162e+09	 0.02664915
L8R5	1013.706500	0.001100	3	1.160e-03	1.166e+09	 0.01243063
L8R6	1019.018900	0.001100	3	2.049e-02	1.145e+09	 0.01766495
L9P1	992.809625	0.000004	1	7.699e-03	1.123e+09	 0.03688977
L9P2	994.874026	0.000006	1	8.659e-03	1.122e+09	 0.03488711
L9P3	997.827121	0.000003	1	8.761e-03	1.120e+09	 0.03202454
L9P4	1001.655682	0.000005	1	8.691e-03	1.117e+09	 0.02834180
L9P5	1006.343184	0.000003	1	8.633e-03	1.112e+09	 0.02388888
L9P6	1011.870513	0.000050	1	8.645e-03	1.107e+09	 0.01872364
L9P7	1028.411400	0.001100	3	8.758e-03	1.101e+09	 0.01290853
L9R0	991.378851	0.000005	1	2.612e-02	1.122e+09	 0.03821743
L9R1	992.016320	0.000002	1	1.826e-02	1.120e+09	 0.03752654
L9R2	993.550563	0.000005	1	1.704e-02	1.117e+09	 0.03594442
L9R3	995.972783	0.000003	1	1.669e-02	1.112e+09	 0.03349627
L9R4	999.270807	0.000005	1	1.656e-02	1.107e+09	 0.03021901
L9R5	1003.428400	0.001100	3	1.650e-02	1.101e+09	 0.02615952
L9R6	1008.428900	0.001100	3	1.641e-02	1.093e+09	 0.02137208
L10P1	982.835296	0.000005	1	6.811e-03	1.073e+09	 0.04004930
L10P2	984.864026	0.000007	1	8.171e-03	1.072e+09	 0.03806275
L10P3	987.768823	0.000004	1	8.928e-03	1.070e+09	 0.03515959
L10P4	991.533853	0.000006	1	9.919e-03	1.068e+09	 0.03138155
L10P5	996.124697	0.000006	1	1.274e-02	1.068e+09	 0.02610094
L10P6	1001.911700	0.001100	3	2.628e-04	1.088e+09	 0.00917942
L10P7	1017.976500	0.001100	3	3.740e-03	1.052e+09	 0.01492525
L10R0	981.438709	0.000007	1	2.069e-02	1.072e+09	 0.04134865
L10R1	982.074245	0.000004	1	1.364e-02	1.070e+09	 0.04058840
L10R2	983.591063	0.000005	1	1.157e-02	1.068e+09	 0.03888367
L10R3	985.962767	0.000006	1	8.276e-03	1.068e+09	 0.03558931
L10R4	989.557270	0.000980	3	3.108e-02	1.088e+09	 0.02068108
L10R5	993.491920	0.000990	3	2.016e-02	1.052e+09	 0.02801621
